KEY ID	Dutch
LocalButton	Lokaal
OnlineButton	Online
HowToPlayButton	Zo speel je
FreePlayButton	Vrij spel
PublicHeader	Openbaar
PrivateHeader	Privé
HostHeader	Hosten
ExitButton	Sluiten
BackButton	Terug
AvailableGamesLabel	Beschikbare spellen
CreateGameButton	Spel aanmaken
FindGameButton	Spel zoeken
EnterCode	Code invoeren
GhostIgnoreTasks	Je bent dood. Geniet van de chaos.
GhostDoTasks	Je bent dood. Voltooi je taken om te winnen.
TotalTasksCompleted	Totaal aantal taken voltooid
GhostImpostor	Je bent dood. Je kunt nog steeds saboteren.
ImpostorTask	Saboteer en dood iedereen.
FakeTasks	Neptaken:
TaskComplete	Klus geklaard!
ExileTextSP	{0} was de bedrieger.
ExileTextSN	{0} was niet de bedrieger.
ExileTextPP	{0} was een bedrieger.
ExileTextPN	{0} was geen bedrieger.
NoExileSkip	Er is niemand uitgegooid. (Overgeslagen)
NoExileTie	Er is niemand uitgegooid. (Onbeslist)
ExileTextNonConfirm	{0} is er uitgegooid.
ImpostorsRemainS	Er is nog {0} bedrieger.
ImpostorsRemainP	Er zijn nog {0} bedriegers.
Hallway	Gang
Engines	Motoren
UpperEngine	Bovenste motor
Cafeteria	Kantine
Weapons	Wapens
Reactor	Reactor
Security	Beveiliging
MedBay	Ziekenkamer
LifeSupp	Zuurstof
Nav	Navigatie
LowerEngine	Onderste motor
Electrical	Elektra
Admin	Administratie
Storage	Opslag
Shields	Schilden
Comms	Communicatie
Decontamination	Ontsmetting
Launchpad	Lanceerplatform
LockerRoom	Kleedkamer
Laboratory	Laboratorium
Balcony	Balkon
Office	Kantoor
Greenhouse	Plantenkas
DivertPowerTo	Leid stroom om naar {0}
AcceptDivertedPower	Accepteer omgeleide stroom
SubmitScan	Verstuur scan
PrimeShields	Activeer schilden
FuelEngines	Vul motoren bij
ChartCourse	Stippel route uit
StartReactor	Start reactor
SwipeCard	Scan kaart
ClearAsteroids	Ruim asteroïden op
DownloadData	Download data
UploadData	Upload data
InspectSample	Onderzoek monster
EmptyChute	Leeg de stortkoker
EmptyGarbage	Ruim het afval op
AlignEngineOutput	Lijn motoruitvoer uit
FixWiring	Repareer bedrading
CalibrateDistributor	Kalibreer stroomverdeler
UnlockManifolds	Ontgrendel verdelers
ResetReactor	Reactormeltdown over
FixLights	Repareer lampen
CleanO2Filter	Reinig zuurstoffilter
FixComms	Communicatie gesaboteerd
RestoreOxy	Zuurstof uitgeput over
StabilizeSteering	Stabiliseer besturing
AssembleArtifact	Stel artefact samen
SortSamples	Sorteer monsters
MeasureWeather	Meet het weer
EnterIdCode	Voer ID-code in
BuyBeverage	Koop drankje
ProcessData	Verwerk data
NumImpostorsS	Er is [FF1919FF]1 bedrieger[] in ons midden
NumImpostorsP	Er zijn [FF1919FF]{0} bedriegers[] in ons midden
Crewmate	Bemanningslid
Impostor	Bedrieger
Victory	Gewonnen
Defeat	Verloren
CrewmatesDisconnected	Meeste bemanningsleden\nhebben verbinding verloren
ImpostorDisconnected	Bedrieger heeft verbinding verloren
PickAnomaly	Kies afwijking
WaterPlantsGetCan	Gieter gevonden!
AuthOfficeOkay	Kantoor Oké
AuthCommsOkay	Communicatie Oké
AuthOfficeActive	Kantoor AAN
AuthCommsActive	Communicatie AAN
AuthOfficeNotActive	Kantoor UIT
AuthCommsNotActive	Communicatie UIT
SecLogEntry	{0} liep langs de {1} sensor
LogNorth	noordelijke
LogSouthEast	zuidoostelijke
LogSouthWest	zuidwestelijke
EnterName	Jouw naam
