KEY ID	Filipino (Bisaya)
LocalButton	Lokal
OnlineButton	Online
HowToPlayButton	Unsaon Pagdula
FreePlayButton	Freeplay
PublicHeader	Pampubliko
PrivateHeader	Pribado
HostHeader	Host
ExitButton	Mobiya
BackButton	Balik
AvailableGamesLabel	Mga Available nga Dula
CreateGameButton	Paghimo og Dula
FindGameButton	Pangita og Dula
EnterCode	Ibutang ang Code
GhostIgnoreTasks	Patay na ka. I-enjoy ang kagubot.
GhostDoTasks	Patay na ka. Humna ang imong mga task aron modaog.
TotalTasksCompleted	Kinatibuk-ang mga task nga nakumpleto
GhostImpostor	Patay na ka. Mahimo gihapon kang magsabotahe.
ImpostorTask	Pagsabotahe ug patya ang tanan.
FakeTasks	Mga Peke nga Task:
TaskComplete	Nakumpleto na ang Task!
ExileTextSP	Si {0} ang Impostor.
ExileTextSN	Dili si {0} ang Impostor.
ExileTextPP	Impostor si {0}.
ExileTextPN	Dili Impostor si {0}.
NoExileSkip	Walay na-eject. (Milaktaw)
NoExileTie	Walay na-eject. (Tie)
ExileTextNonConfirm	Na-eject si {0}.
ImpostorsRemainS	{0} ka Impostor na lamang ang nahibilin.
ImpostorsRemainP	{0} ka Impostor na lamang ang nahibilin.
Hallway	Hallway
Engines	Mga Engine
UpperEngine	Engine sa Ibabaw
Cafeteria	Cafeteria
Weapons	Mga Armas
Reactor	Reactor
Security	Seguridad
MedBay	MedBay
LifeSupp	O2
Nav	Nabigasyon
LowerEngine	Engine sa Ubos
Electrical	Elektrikal
Admin	Admin
Storage	Storage
Shields	Mga Shield
Comms	Comms
Decontamination	Decontamination
Launchpad	Launchpad
LockerRoom	Locker Room
Laboratory	Laboratoryo
Balcony	Balkonahe
Office	Opisina
Greenhouse	Greenhouse
DivertPowerTo	I-divert ang Power sa {0}
AcceptDivertedPower	Dawata ang Na-divert nga Power
SubmitScan	Isumite ang Pag-scan
PrimeShields	I-prime ang Mga Shield
FuelEngines	Butangi og Fuel ang Mga Engine
ChartCourse	I-chart ang Course
StartReactor	Paganaha ang Reactor
SwipeCard	I-swipe ang Kard
ClearAsteroids	I-clear ang Mga Asteroid
DownloadData	I-download ang Data
UploadData	I-upload ang Data
InspectSample	Susiha ang Sampol
EmptyChute	Tangtanga ang Sulod sa Chute
EmptyGarbage	Tangtanga ang Sulod sa Basurahan
AlignEngineOutput	I-align ang Engine Output
FixWiring	Ayoha ang Wiring
CalibrateDistributor	I-calibrate ang Distributor
UnlockManifolds	I-unlock ang Mga Manifold
ResetReactor	Molanay ang Reactor sa
FixLights	Ayoha ang Mga Suga
CleanO2Filter	Limpiyohi ang O2 Filter
FixComms	Gisabotahe ang Comms
RestoreOxy	Mahurot na ang Oxygen sa
StabilizeSteering	I-stabilize ang Steering
AssembleArtifact	I-assemble ang Artifact
SortSamples	Ihan-ay ang Mga Sampol
MeasureWeather	Sukda ang Panahon
EnterIdCode	Ibutang ang Id Code
BuyBeverage	Pagpalit og Mainom
ProcessData	Iproseso ang Data
NumImpostorsS	Adunay [FF1919FF]1 ka Impostor[] kanato
NumImpostorsP	Adunay [FF1919FF]{0} ka Impostor[] kanato
Crewmate	Crewmate
Impostor	Impostor
Victory	Kadaogan
Defeat	Kapildihan
CrewmatesDisconnected	Nadiskonekta ang\nKadaghanan sa Mga Crewmate
ImpostorDisconnected	Nadiskonekta ang Impostor
PickAnomaly	Pagpili og Anomalya
WaterPlantsGetCan	Pagkuha og Watering Can!
AuthOfficeOkay	OK ang Opisina
AuthCommsOkay	OK ang Comms
AuthOfficeActive	AKTIBO ang Opisina
AuthCommsActive	AKTIBO ang Comms
AuthOfficeNotActive	DILI AKTIBO ang Opisina
AuthCommsNotActive	DILI AKTIBO ang Comms
SecLogEntry	Miagi si {0} sa sensor sa {1}
LogNorth	North
LogSouthEast	Southeast
LogSouthWest	Southwest
EnterName	Ibutang ang Ngalan
SwipeCardPleaseInsert	Palihug ibutang ang kard
SwipeCardPleaseSwipe	Palihug i-swipe ang kard
SwipeCardBadRead	Wala nabasa. Sulayi pag-usab.
SwipeCardTooFast	Paspas kaayo. Sulayi pag-usab.
SwipeCardTooSlow	Hinay kaayo. Sulayi pag-usab.
SwipeCardAccepted	Nadawat na. Salamat.
ReactorHoldToStop	I-hold ipaundang meltdown
ReactorWaiting	Naghulat sa ikaduhang user
ReactorNominal	Nominal ang Reactor
MeetingWhoIsTitle	Kinsa ang Impostor?
MeetingVotingBegins	Magsugod ang Pagboto sa: {0}s
MeetingVotingEnds	Matapos ang Pagboto sa: {0}s
