KEY ID	French
LocalButton	Local
OnlineButton	En ligne
HowToPlayButton	Comment jouer
FreePlayButton	Jeu libre
PublicHeader	Public
PrivateHeader	Privé
HostHeader	Héberger
ExitButton	Sortie
BackButton	Retour
AvailableGamesLabel	Parties disponibles
CreateGameButton	Créer partie
FindGameButton	Trouver partie
EnterCode	Entrer code
GhostIgnoreTasks	Vous êtes mort. Profitez du chaos.
GhostDoTasks	Vous êtes mort. Finissez vos tâches pour gagner.
TotalTasksCompleted	Total des taches accomplies
GhostImpostor	Vous êtes mort. Saboter est toujours possible.
ImpostorTask	Sabotez et tuez tout le monde.
FakeTasks	Tâches factices :
TaskComplete	Tâche terminée !
ExileTextSP	{0} était l'imposteur.
ExileTextSN	{0} n'était pas l'imposteur.
ExileTextPP	{0} était un imposteur.
ExileTextPN	{0} n'était pas un imposteur.
NoExileSkip	Personne n'a été éjecté. (Passe)
NoExileTie	Personne n'a été éjecté. (Égalité)
ExileTextNonConfirm	{0} a été éjecté(e).
ImpostorsRemainS	Il reste {0} imposteur.
ImpostorsRemainP	Il reste {0} imposteurs.
Hallway	Couloir
Engines	Moteurs
UpperEngine	Moteur supérieur
Cafeteria	Cafétéria
Weapons	Armes
Reactor	Réacteur
Security	Sécurité
MedBay	Infirmerie
LifeSupp	O2
Nav	Navigation
LowerEngine	Moteur inférieur
Electrical	Électricité
Admin	Admin
Storage	Cargo
Shields	Boucliers
Comms	Radio
Decontamination	Décontamination
Launchpad	Plateforme
LockerRoom	Vestiaires
Laboratory	Laboratoire
Balcony	Balcon
Office	Bureaux
Greenhouse	Jardins
DivertPowerTo	Dévier courant vers {0}
AcceptDivertedPower	Accepter courant dévié
SubmitScan	Envoyer scan
PrimeShields	Activer boucliers
FuelEngines	Faire le plein
ChartCourse	Tracer trajectoire
StartReactor	Démarrer réacteur
SwipeCard	Glisser carte
ClearAsteroids	Détruire astéroïdes
DownloadData	Télécharger données
UploadData	Transférer données
InspectSample	Examiner échantillon
EmptyChute	Vider vide-ordures
EmptyGarbage	Sortir poubelles
AlignEngineOutput	Aligner moteur
FixWiring	Réparer câblage
CalibrateDistributor	Calibrer distributeur
UnlockManifolds	Débloquer claviatures
ResetReactor	Fusion du réacteur dans
FixLights	Réparer lampes
CleanO2Filter	Nettoyer filtre O2
FixComms	Radio sabotée
RestoreOxy	Oxygène épuisé dans
StabilizeSteering	Stabiliser contrôles
AssembleArtifact	Assembler artefact
SortSamples	Classer échantillons
MeasureWeather	Analyser météo
EnterIdCode	Entrer code ID
BuyBeverage	Acheter boisson
ProcessData	Traiter données
NumImpostorsS	Il y a [FF1919FF]1 imposteur[] parmi nous
NumImpostorsP	Il y a [FF1919FF]{0} imposteurs[] parmi nous
Crewmate	Coéquipier
Impostor	Imposteur
Victory	Victoire
Defeat	Défaite
CrewmatesDisconnected	Plupart des coéquipiers\ndéconnectés
ImpostorDisconnected	Imposteur déconnecté
PickAnomaly	Choisir anomalie
WaterPlantsGetCan	Arrosoir obtenu !
AuthOfficeOkay	Bureaux OK
AuthCommsOkay	Radio OK
AuthOfficeActive	Bureaux ACTIFS
AuthCommsActive	Radio ACTIVE
AuthOfficeNotActive	Bureaux NON ACTIFS
AuthCommsNotActive	Radio NON ACTIVE
SecLogEntry	{0} a franchi le capteur {1}
LogNorth	Nord
LogSouthEast	Sud-est
LogSouthWest	Sud-ouest
EnterName	Entrer nom
SwipeCardPleaseInsert	Inserez la carte
SwipeCardPleaseSwipe	Glissez la carte
SwipeCardBadRead	Illisible. Reessayez.
SwipeCardTooFast	Trop rapide. Reessayez.
SwipeCardTooSlow	Trop lent. Reessayez.
SwipeCardAccepted	Accepte. Merci.
ReactorHoldToStop	Maintenir pour stopper fusion
ReactorWaiting	En attente du 2e utilisateur
ReactorNominal	Réacteur minime
MeetingWhoIsTitle	Qui est l'imposteur ?
MeetingVotingBegins	Début des votes dans : {0} s
MeetingVotingEnds	Fin des votes dans : {0} s
MeetingVotingResults	Résultats des votes
MeetingProceeds	Procédure dans : {0} s
MeetingHasVoted	{0} a voté. {1} restant(s).
HowToPlayText1	Among Us est un jeu de trahison et de travail d'équipe.\n\nLes joueurs sont des coéquipiers ou des imposteurs.
HowToPlayText2	Disputez des parties de 4 à 10 joueurs en ligne ou en Wi-Fi local !
HowToPlayText41	Quand vous hébergez une partie, c'est vous qui fixez les règles.
HowToPlayText42	D'abord, choisissez avec qui vous voulez jouer !\n\nSi vous préférez jouer avec des amis en ligne, réglez sur « privé » et fournissez-leur le code de ce salon.\n\nSi vous voulez jouer avec des joueurs du monde entier, réglez sur « public ».
HowToPlayText43	Vous voulez plus de tâches ? Marcher plus vite ? Augmenter le nombre d'imposteurs ? En tant qu'hôte, vous pouvez modifier ces réglages. Pensez à avertir les autres joueurs.
HowToPlayText44	Si un joueur est grossier et/ou spamme non-stop, l'hôte peut l'expulser temporairement en guise d'avertissement ou le bannir du salon en ligne.
HowToPlayTextMap	Les joueurs ont accès à une carte pour les aider à parcourir le vaisseau.
HowToPlayTextCrew1	Objectif : remplir la barre des tâches ou découvrir l'imposteur.
HowToPlayTextCrew2	Remplir la jauge en terminant des tâches.
HowToPlayTextCrew3	Réagir à un sabotage de l'imposteur.
HowToPlayTextCrew4	Imposteur démasqué ? Demander une réunion.
HowToPlayTextCrew5	Signaler des cadavres.
HowToPlayTextCrew6	Chercher toute activité suspecte sur la carte Admin et Sécurité.
HowToPlayTextImp1	Objectif : tuer les membres d'équipage.
HowToPlayTextImp2	Devenir invisible parmi l'équipage.
HowToPlayTextImp3	Se faufiler dans les conduits d'aération.
HowToPlayTextImp4	Faire semblant d'accomplir des tâches.
HowToPlayTextImp5	Saboter le vaisseau et embrouiller l'équipage.
HowToPlayTextImp6	Verrouiller les portes et enfermer des joueurs.
HowToPlayTextImp7	Tuer les membres d'équipage entre les temps morts.
HowToPlayText5	Lorsque vous jouez en personne, vous n'avez pas le droit de parler, histoire de garantir l'équité du jeu entre l'équipage et l'imposteur.\n\nSi l'imposteur tue un joueur, il est interdit à celui-ci de parler jusqu'à la fin de la partie.\n\nLes fantômes poursuivent toujours leurs tâches pour essayer de faire gagner leurs coéquipiers.
HowToPlayText6	Lorsqu'un joueur signale un cadavre ou demande une réunion d'urgence, les membres d'équipage se réunissent pour partager les infos qu'ils ont glanées sur l'imposteur.\n\nVous pourrez alors parler librement et présenter vos théories sur l'identité de l'imposteur. Si vous jouez en personne, les fantômes n'ont pas le droit de parler (vu qu'ils savent qui est l'imposteur).\n\nLes imposteurs essaieront de prouver leur innocence ou d'accuser un autre membre de l'équipage.
HowToPlayText7	Après discussion, votez pour le joueur qui, selon vous, est l'imposteur.\n\nLe joueur qui recueillera le plus de votes sera éjecté du vaisseau, alors votez judicieusement !\n\nVous pouvez aussi décider d'un commun accord de ne pas voter. Vous pourrez alors réunir plus d'informations et éviter ainsi d'éjecter un innocent.
HowToPlayText81	Entraînez-vous en mode Jeu libre !
HowToPlayText82	Configurez vos tâches comme membre d'équipage ou peaufinez vos stratégies meurtrières d'imposteur !
SettingsGeneral	Général
SettingsControls	Commandes
SettingsSound	Audio
SettingsGraphics	Graphismes
SettingsData	Données
SettingsCensorChat	Censurer chat
SettingsMusic	Musique
SettingsSFX	Effets sonores
SettingsOn	Oui
SettingsOff	Non
SettingsSendTelemetry	Envoyer télémétrie
SettingsControlMode	Mode Contrôle
SettingsTouchMode	Tactile
SettingsJoystickMode	Joystick
SettingsKeyboardMode	Souris+Clavier
SettingsFullscreen	Plein écran
SettingsVSync	Synchro verticale
SettingsResolution	Résolution
SettingsApply	Appliquer
SettingsPersonalizeAds	Personnaliser pubs
SettingsLanguage	Langue
SettingsJoystickSize	Taille
SettingsMouseMode	Souris
MatchMapName	Carte :
MatchLanguage	Chat :
MatchImpostors	Imposteurs :
MatchMaxPlayers	Joueurs max :
Cancel	Annuler
Confirm	Confirmer
PlayerColor	Couleur
PlayerHat	Tête
PlayerSkin	Skin
PlayerPet	Bestiole
GameSettings	Jeu
GameRecommendedSettings	Réglages recommandés
GameCustomSettings	Réglages personnalisés
GameMapName	Carte
GameNumImpostors	Nbre d'imposteurs
GameNumMeetings	Réunions d'urgence
GameDiscussTime	Temps de discussion
GameVotingTime	Temps de vote
GamePlayerSpeed	Vitesse joueurs
GameCrewLight	Vision coéquipiers
GameImpostorLight	Vision imposteurs
GameKillCooldown	Temps mort Frags
GameKillDistance	Distance frags
GameCommonTasks	Tâches communes
GameLongTasks	Tâches longues
GameShortTasks	Tâches courtes
GameEmergencyCooldown	Temps mort Urgence
GameSecondsAbbrev	{0}s
GameConfirmImpostor	Confirmer éjections
GameVisualTasks	Tâches visuelles
GameAnonymousVotes	Votes anonymes
GameTaskBarMode	MàJ barre des tâches
SettingNormalTaskMode	Toujours
SettingMeetingTaskMode	Réunions
SettingInvisibleTaskMode	Jamais
Limit	Limite
RoomCode	Code
LeaveGame	Quitter partie
ReturnToGame	Retour au jeu
LocalHelp	Des soucis de connexion ?\n\n● Vérifiez que tout le monde est connecté au même réseau Wi-Fi\n● Vérifiez que tout le monde possède la même version (voir en haut à gauche)\n● Vérifiez que le signal Wi-Fi est suffisamment fort\n● Essayez de confier l'hébergement de la partie à un autre joueur\n● Essayez de redémarrer l'application\n● Essayez de redémarrer votre téléphone\n● Le problème persiste ? Contactez-nous sur notre discord !
OnlineHelp	Comment ça marche ?\n\n● Héberger une partie génère un code qui s'affiche à côté du bouton de démarrage.\n● Fournissez ce code à vos amis pour créer un salon privé.\n● Ou sélectionnez Privé afin de rendre le salon public\npour l'option « Trouver partie ».\n● L'hôte peut bannir ou expulser des joueurs chaque fois que le chat est disponible.\n● Le problème persiste ? Contactez-nous sur notre Discord !
EmergencyCount	LE COÉQUIPIER {0} A\n\n\n\nRÉUNION(S) D'URGENCE RESTANTE(S)
EmergencyNotReady	LES COÉQUIPIERS DOIVENT ATTENDRE\n\n\n\nAVANT LA PROCHAINE URGENCE
EmergencyDuringCrisis	IMPOSSIBLE DE TENIR DES RÉUNIONS\nD'URGENCE PENDANT UNE CRISE
EmergencyRequested	RÉUNION D'URGENCE DEMANDÉE\nEN ATTENTE DE L'HÔTE
AdPolicyTitle	Politique publicitaire
AdPolicyText	Among Us exécute le système publicitaire AdMob après chaque match pour garantir\nla gratuité de l'appli. Par défaut, AdMob collecte des données afin\nde présenter des publicités pertinentes. AdMob utilise des cookies, des ID d'appareils\net des géodonnées rudimentaires, même pour les pubs non personnalisées.\nCette fonctionnalité n'étant pas désactivable, nous vous recommandons d'acheter la mise à niveau sans pub (2 $).\n\nSi vous achetez cette mise à niveau, vos amis n'auront pas de pub\nlorsque vous hébergerez une partie ! Si vous avez déjà acheté la mise à niveau,\nouvrez le store pour récupérer la facture.
Accept	Accepter
RemoveAds	Supprimer pubs
PlainYes	Oui
PlainNo	Non
PrivacyPolicyTitle	Charte de confidentialité
PrivacyPolicyText	Innersloth traite les données personnelles pour Among Us. Veuillez lire notre [https://innersloth.com/privacy.php]Charte de confidentialité[] pour obtenir de plus amples renseignements sur nos pratiques relatives à la vie privée. Vous pouvez gérer vos paramètres de données personnelles pour Among Us via l'option « Données ».
ManageDataButton	Gérer la collecte des données
UnderstandButton	Je comprends
WaterPlants	Arroser plantes
WeatherEta	ETA : {0}s
WeatherComplete	Terminé
RunDiagnostics	Lancer diagnostics
SettingShort	Court
SettingMedium	Moyen
SettingLong	Long
SamplesPress	Appuyer pour commencer
SamplesAdding	Ajouter reactifs
SamplesSelect	Selectionner anomalie
SamplesThanks	Merci !
SamplesComplete	Test effectue
AstDestroyed	Detruits : {0}
TaskTestTitle	Tâches-Testeur 2000
BeginDiagnostics	Demarrer diagnostics
UserLeftGame	{0} a quitté la partie.
GameStarting	Démarrage dans {0}
ChatRateLimit	Trop rapide. Attendez {0} secondes
Tasks	Tâches
MedscanRequested	Scan demandé
MedscanWaitingFor	En attente de {0}
MedscanCompleted	Scan effectué !
MedscanCompleteIn	Scan terminé dans {0}
StatsTitle	Statistiques
StatsBodiesReported	Cadavres signalés :\t
StatsEmergenciesCalled	Urgences appelées :\t
StatsTasksCompleted	Tâches terminées :\t
StatsAllTasksCompleted	Toutes les tâches terminées :\t
StatsSabotagesFixed	Sabotages réparés :\t
StatsImpostorKills	Frags Imposteur :\t\t
StatsTimesMurdered	Nbre de fois tué :\t
StatsTimesEjected	Nbre de fois éjecté :\t\t
StatsCrewmateStreak	Parties consécutives dans l'équipage:\t
StatsGamesImpostor	Nbre de fois Imposteur :\t
StatsGamesCrewmate	Nbre de fois Coéquipier :\t
StatsGamesStarted	Parties commencées :\t
StatsGamesFinished	Parties terminées :\t
StatsImpostorVoteWins	Victoires Votes Imposteur :\t
StatsImpostorKillsWins	Victoires Frag Imposteur :\t
StatsImpostorSabotageWins	Victoires Sabotage Imposteur :\t
StatsCrewmateVoteWins	Victoires Votes Équipage :\t
StatsCrewmateTaskWins	Victoires Tâches Équipage :\t
MonitorOxygen	Examiner arbre
StoreArtifacts	Ranger artefacts
FillCanisters	Remplir bombonnes
InsertKeys	Insérer clés
ResetSeismic	RàZ stabiliseurs sismiques
SeismicHoldToStop	Maintenir pour activer stabiliseurs sismiques
SeismicNominal	Activité sismique minime
ScanBoardingPass	Scanner carte passager
FixWeatherNode	Réparer nœud météo
OpenWaterways	Ouvrir canalisations
ReplaceWaterJug	Remplacer bombonne d'eau
RepairDrill	Réparer foreuse
AlignTelescope	Aligner télescope
RecordTemperature	Consigner température
RebootWifi	Relancer Wi-Fi
WifiRebootRequired	Redémarrage requis
WifiPleaseWait	Veuillez patienter
WifiPleaseReturnIn	Veuillez revenir dans {0}
WifiPleasePowerOn	Veuillez allumer
WifiRebootComplete	Redémarrage terminé
Outside	Extérieur
Dropship	Navette
Decontamination2	Décontamination
Specimens	Salle Spécimens
BoilerRoom	Chaufferie
GameOverImpostorDead	Normalement, l'imposteur étant mort, l'équipage gagnerait... mais en Jeu libre, tout le monde ressuscite.
GameOverImpostorKills	Normalement, l'équipage ne pouvant plus gagner, l'imposteur remporterait la victoire... mais en Jeu libre, tout le monde ressuscite.
GameOverTaskWin	Normalement, la barre de tâche étant remplie, l'équipage gagnerait... mais en Jeu libre, de nouvelles tâches sont générées.
GameOverSabotage	Normalement, l'imposteur ayant réussi un sabotage critique, il gagnerait. Mais au lieu de ça, on arrête tout.
HowToPlayText2Switch	Disputez des parties de 4 à 10 joueurs en ligne\n\navec votre abonnement Nintendo Switch Online ou via le Wi-Fi local !
VentDirection	Sens Conduits aération
VentMove	Utilisez les conduits
MenuNavigate	Parcourir
NsoError	Impossible de se connecter au réseau.
ErrorServerOverload	Les serveurs d'Among Us sont surchargés.\r\n\r\nDésolé ! Veuillez réessayer plus tard !
ErrorIntentionalLeaving	Après une déconnexion intentionnelle, vous devez attendre {0} minutes de plus avant de pouvoir rejoindre une autre partie.
ErrorFocusLost	Vous avez été déconnecté parce qu'Among Us a été suspendu par une autre application.
ErrorBanned	Vous avez été expulsé de {0}.\r\n\r\nVous ne pouvez pas rejoindre ce salon.
ErrorKicked	Vous avez été expulsé de {0}.\r\n\r\nVous pouvez rejoindre les hostilités si le salon n'a pas démarré.
ErrorBannedNoCode	Vous avez été banni du salon.\r\n\r\nVous ne pouvez pas rejoindre ce salon.
