KEY ID	Korean
LocalButton	로컬
OnlineButton	온라인
HowToPlayButton	플레이 방법
FreePlayButton	연습 모드
PublicHeader	공개
PrivateHeader	비공개
HostHeader	주최
ExitButton	종료
BackButton	뒤로
AvailableGamesLabel	참가 가능한 게임
CreateGameButton	게임 만들기
FindGameButton	게임 찾기
EnterCode	코드 입력
GhostIgnoreTasks	죽었습니다. 혼란을 즐기세요.
GhostDoTasks	죽었습니다. 승리할 수 있게 임무를 끝내세요.
TotalTasksCompleted	모든 임무 완료함
GhostImpostor	죽었습니다. 방해 공작은 계속 가능합니다.
ImpostorTask	방해 공작을 펼치고 모두를 처치하세요.
FakeTasks	가짜 임무:
TaskComplete	임무를 완료했습니다!
ExileTextSP	{0} 님은 임포스터였습니다.
ExileTextSN	{0} 님은 임포스터가 아니었습니다.
ExileTextPP	{0} 님은 임포스터였습니다.
ExileTextPN	{0} 님은 임포스터가 아니었습니다.
NoExileSkip	아무도 방출되지 않았습니다. (건너뜀)
NoExileTie	아무도 방출되지 않았습니다. (동점)
ExileTextNonConfirm	{0} 님이 방출됐습니다.
ImpostorsRemainS	임포스터가 {0}명 남았습니다.
ImpostorsRemainP	임포스터가 {0}명 남았습니다.
Hallway	통로
Engines	엔진실
UpperEngine	상부 엔진실
Cafeteria	식당
Weapons	무기고
Reactor	원자로
Security	보안실
MedBay	의무실
LifeSupp	산소 공급실
Nav	항해실
LowerEngine	하부 엔진실
Electrical	전기실
Admin	관리실
Storage	창고
Shields	보호막 제어실
Comms	통신실
Decontamination	소독실
Launchpad	발사대
LockerRoom	탈의실
Laboratory	실험실
Balcony	발코니
Office	사무실
Greenhouse	온실
DivertPowerTo	{0} 쪽으로 전력 전환하기
AcceptDivertedPower	전환된 전력 받기
SubmitScan	스캔 제출하기
PrimeShields	보호막 준비하기
FuelEngines	엔진 연료 공급하기
ChartCourse	항로 계획하기
StartReactor	원자로 가동하기
SwipeCard	카드 긁기
ClearAsteroids	소행성 파괴하기
DownloadData	데이터 다운로드하기
UploadData	데이터 업로드하기
InspectSample	표본 조사하기
EmptyChute	쓰레기관 비우기
EmptyGarbage	쓰레기 비우기
AlignEngineOutput	엔진 출력 정렬하기
FixWiring	배선 수리하기
CalibrateDistributor	배전기 보정하기
UnlockManifolds	매니폴드 잠금 해제하기
ResetReactor	원자로 멜트다운까지:
FixLights	조명 수리하기
CleanO2Filter	산소 필터 청소하기
FixComms	통신실에 방해 공작 발생
RestoreOxy	산소 고갈까지:
StabilizeSteering	항로 조종 안정시키기
AssembleArtifact	유물 복원하기
SortSamples	표본 분류하기
MeasureWeather	기후 측정하기
EnterIdCode	ID 코드 입력하기
BuyBeverage	음료 구매하기
ProcessData	데이터 처리하기
NumImpostorsS	우리 중 [FF1919FF]임포스터가 1명[] 있습니다.
NumImpostorsP	우리 중 [FF1919FF]임포스터가 {0}명[] 있습니다.
Crewmate	크루원
Impostor	임포스터
Victory	승리
Defeat	패배
CrewmatesDisconnected	대부분의 크루원이\n연결 해제됐습니다.
ImpostorDisconnected	임포스터가 연결 해제됐습니다.
PickAnomaly	이상 현상 고르기
WaterPlantsGetCan	물뿌리개 획득!
AuthOfficeOkay	사무실 확인
AuthCommsOkay	통신실 확인
AuthOfficeActive	사무실 활성화
AuthCommsActive	통신실 활성화
AuthOfficeNotActive	사무실 비활성화
AuthCommsNotActive	통신실 비활성화
SecLogEntry	{0} 님이 {1} 센서를 통과했습니다.
LogNorth	북쪽
LogSouthEast	남동쪽
LogSouthWest	남서쪽
EnterName	이름 입력
SwipeCardPleaseInsert	카드를 삽입하세요.
SwipeCardPleaseSwipe	카드를 긁으세요.
SwipeCardBadRead	판독 불가. 다시 하세요.
SwipeCardTooFast	너무 빠릅니다. 다시 하세요.
SwipeCardTooSlow	너무 느립니다. 다시 하세요.
SwipeCardAccepted	승인 완료. 감사합니다.
ReactorHoldToStop	길게 눌러 멜트다운 중지하기
ReactorWaiting	다른 크루원 기다리는 중
ReactorNominal	원자로 정상
MeetingWhoIsTitle	누가 임포스터일까요?
MeetingVotingBegins	투표 시작까지: {0}초
MeetingVotingEnds	투표 종료까지: {0}초
MeetingVotingResults	투표 결과
MeetingProceeds	진행까지: {0}초
MeetingHasVoted	{0} 님이 투표했습니다. {1}명 남았습니다.
HowToPlayText1	Among Us는 팀워크와 배신의 게임입니다.\n\n플레이어는 크루원 또는 임포스터가 됩니다.
HowToPlayText2	온라인 또는 로컬 WiFi로 4~10명이 플레이할 수 있습니다!
HowToPlayText41	게임을 주최하면 게임 플레이 전반을 제어할 수 있습니다.
HowToPlayText42	먼저 누구와 함께 플레이할지 정하세요!\n\n친구와 온라인으로 플레이하고 싶다면 "비공개"로 설정한 후 방 코드를 공유하면 됩니다.\n\n전 세계 곳곳의 플레이어와 플레이하고 싶다면 "공개"로 설정하세요.
HowToPlayText43	임무의 수를 더 늘리고 싶으신가요? 이동 속도를 더 빠르게 하는 건 어때요? 임포스터를 늘리는 건요? 주최자는 이러한 설정을 변경할 수 있습니다. 동료 플레이어에게 변경 사항을 꼭 알리세요.
HowToPlayText44	특정 누군가가 무례하게 굴거나 스패밍하는 경우, 주최자는 경고의 의미로 해당 플레이어를 일시적으로 추방하거나 특정 온라인 방에서 차단할 수 있습니다.
HowToPlayTextMap	플레이어는 함선을 돌아다니는 데 도움이 될 개인 맵을 확인할 수 있습니다.
HowToPlayTextCrew1	목표: 그룹 임무 게이지를 모두 채우거나 임포스터를 발견하세요.
HowToPlayTextCrew2	임무를 완료해 게이지를 채우세요.
HowToPlayTextCrew3	임포스터의 방해 공작에 대응하세요.
HowToPlayTextCrew4	임포스터를 찾았다면 긴급회의를 소집하세요.
HowToPlayTextCrew5	시체를 발견하면 신고하세요.
HowToPlayTextCrew6	관리실 맵과 보안실을 확인해 수상한 활동이 있는지 감시하세요.
HowToPlayTextImp1	목표: 크루원을 처치하세요.
HowToPlayTextImp2	크루원 사이에 자연스럽게 섞이세요.
HowToPlayTextImp3	환풍구를 통해 살금살금 이동하세요.
HowToPlayTextImp4	임무를 수행하는 척하세요.
HowToPlayTextImp5	함선에 방해 공작을 일으켜 크루원 사이에 혼란을 일으키세요.
HowToPlayTextImp6	문을 닫아 피해자를 가두세요.
HowToPlayTextImp7	쿨다운 사이에 크루원을 처치하세요.
HowToPlayText5	크루원과 임포스터 사이 공정한 게임을 위해 플레이 중에는 대화가 허용되지 않습니다.\n\n임포스터에게 처치된 플레이어는 게임이 끝날 때까지 말을 할 수 없습니다.\n\n유령은 크루원의 승리를 돕기 위해 할당된 임무를 계속 수행할 수 있습니다.
HowToPlayText6	누군가 시체를 발견했다고 신고하거나 긴급회의를 소집한 경우, 크루원이 모여서 임포스터가 누구인지에 대해 논의할 수 있습니다.\n\n이때 플레이어는 임포스터가 누구라고 생각하는지, 자신이 어떤 정보를 갖고 있는지 자유롭게 이야기할 수 있습니다. 유령은 임포스터가 누구인지 이미 알고 있으므로 말할 수 없습니다.\n\n임포스터는 자신이 무죄임을 다른 사람이 믿게 하도록 속이거나, 다른 크루원에게 혐의를 씌울 수 있습니다.
