KEY ID	Russian
LocalButton	Локально
OnlineButton	Онлайн
HowToPlayButton	Как играть
FreePlayButton	Песочница
PublicHeader	Общие комнаты
PrivateHeader	Частные комнаты
HostHeader	Создать комнату
ExitButton	Выйти
BackButton	Назад
AvailableGamesLabel	Доступные игры
CreateGameButton	Создать
FindGameButton	Найти игру
EnterCode	Ввести код
GhostIgnoreTasks	Вы мертвы. Наслаждайтесь хаосом.
GhostDoTasks	Вы мертвы. Для победы выполните все задания.
TotalTasksCompleted	Всего заданий выполнено
GhostImpostor	Вы мертвы. Все еще можно устроить саботаж.
ImpostorTask	Устройте саботаж и убейте всех.
FakeTasks	Фальшивые задания:
TaskComplete	Задание выполнено!
ExileTextSP	Член экипажа {0} был предателем.
ExileTextSN	Член экипажа {0} не был предателем.
ExileTextPP	Член экипажа {0} был одним из предателей.
ExileTextPN	Член экипажа {0} не был предателем.
NoExileSkip	Никого не выбросили (пропуск).
NoExileTie	Никого не выбросили (ничья).
ExileTextNonConfirm	{0} выбрасывают.
ImpostorsRemainS	Берегитесь еще {0} предателя.
ImpostorsRemainP	Берегитесь еще {0} предателей.
Hallway	Коридор
Engines	Двигатели
UpperEngine	Верхний двигатель
Cafeteria	Столовая
Weapons	Вооружение
Reactor	Реактор
Security	Охрана
MedBay	Медотсек
LifeSupp	O2
Nav	Навигация
LowerEngine	Нижний двигатель
Electrical	Электросистемы
Admin	Управление
Storage	Склад
Shields	Щиты
Comms	Связь
Decontamination	Дезинфекция
Launchpad	Стартовая площадка
LockerRoom	Раздевалка
Laboratory	Лаборатория
Balcony	Балкон
Office	Офис
Greenhouse	Оранжерея
DivertPowerTo	Подать энергию в зону «{0}»
AcceptDivertedPower	Принять подачу энергии
SubmitScan	Пройти сканирование
PrimeShields	Запустить щиты
FuelEngines	Заправить двигатели
ChartCourse	Проложить маршрут
StartReactor	Запустить реактор
SwipeCard	Провести картой
ClearAsteroids	Разрушить астероиды
DownloadData	Скачать данные
UploadData	Загрузить данные
InspectSample	Исследовать образец
EmptyChute	Очистить мусоропровод
EmptyGarbage	Выбросить мусор
AlignEngineOutput	Выровнять отдачу двигателей
FixWiring	Починить проводку
CalibrateDistributor	Откалибровать распределитель
UnlockManifolds	Открыть коллекторы
ResetReactor	Расплавление в реакторе через
FixLights	Починить освещение
CleanO2Filter	Очистить фильтр O2
FixComms	Саботаж связи
RestoreOxy	O2 закончится через
StabilizeSteering	Выровнять курс
AssembleArtifact	Собрать артефакт
SortSamples	Разобрать образцы
MeasureWeather	Изучить метеоусловия
EnterIdCode	Ввести код доступа
BuyBeverage	Купить напиток
ProcessData	Обработать данные
NumImpostorsS	Берегитесь [FF1919FF]1 предателя[] среди нас
NumImpostorsP	Берегитесь [FF1919FF]{0} предателей[] среди нас
Crewmate	Член экипажа
Impostor	Предатель
Victory	Победа
Defeat	Поражение
CrewmatesDisconnected	Большая часть экипажа\nотключилась
ImpostorDisconnected	Предатель отключился
PickAnomaly	Выберите аномалию
